city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,19164071
Los Angeles,Los Angeles,34.114,-118.4068,United States,US,USA,California,,12740381
Chicago,Chicago,41.8373,-87.6861,United States,US,USA,Illinois,,8639278
Miami,Miami,25.784,-80.2102,United States,US,USA,Florida,,6247425
Dallas,Dallas,32.7938,-96.7659,United States,US,USA,Texas,,5634307
Philadelphia,Philadelphia,40.0076,-75.134,United States,US,USA,Pennsylvania,,5591554
Houston,Houston,29.7871,-95.3936,United States,US,USA,Texas,,5424720
Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,5191844
Atlanta,Atlanta,33.7627,-84.4231,United States,US,USA,Georgia,admin,5080712
Boston,Boston,42.3189,-71.0838,United States,US,USA,Massachusetts,admin,4556916
Phoenix,Phoenix,33.5722,-112.0891,United States,US,USA,Arizona,admin,4054083
San Francisco,San Francisco,37.7561,-122.4429,United States,US,USA,California,,3548847
Seattle,Seattle,47.6217,-122.3238,United States,US,USA,Washington,,3541236
Detroit,Detroit,42.3834,-83.1024,United States,US,USA,Michigan,,3520589
San Diego,San Diego,32.8312,-117.1225,United States,US,USA,California,,3181172
Minneapolis,Minneapolis,44.9635,-93.2679,United States,US,USA,Minnesota,,2866604
Tampa,Tampa,27.9937,-82.4454,United States,US,USA,Florida,,2744107
Denver,Denver,39.7621,-104.8759,United States,US,USA,Colorado,admin,2741534
Brooklyn,Brooklyn,40.6501,-73.9496,United States,US,USA,New York,,2629150
Queens,Queens,40.7498,-73.7976,United States,US,USA,New York,,2333054
Baltimore,Baltimore,39.3051,-76.6144,United States,US,USA,Maryland,,2181206
Saint Louis,Saint Louis,38.6358,-90.2451,United States,US,USA,Missouri,,2096990
Riverside,Riverside,33.9382,-117.3949,United States,US,USA,California,,2065627
Las Vegas,Las Vegas,36.2288,-115.2603,United States,US,USA,Nevada,,2044731
Portland,Portland,45.5372,-122.65,United States,US,USA,Oregon,,2027629
San Antonio,San Antonio,29.4722,-98.5247,United States,US,USA,Texas,,1976787
Sacramento,Sacramento,38.5666,-121.4683,United States,US,USA,California,admin,1830061
San Jose,San Jose,37.302,-121.8488,United States,US,USA,California,,1804359
Orlando,Orlando,28.4801,-81.3448,United States,US,USA,Florida,,1757288
Cleveland,Cleveland,41.4766,-81.6805,United States,US,USA,Ohio,,1731637
Pittsburgh,Pittsburgh,40.4396,-79.9763,United States,US,USA,Pennsylvania,,1722206
Manhattan,Manhattan,40.7834,-73.9662,United States,US,USA,New York,,1643734
Cincinnati,Cincinnati,39.1412,-84.506,United States,US,USA,Ohio,,1634573
Austin,Austin,30.3038,-97.7545,United States,US,USA,Texas,admin,1633847
Kansas City,Kansas City,39.1239,-94.5541,United States,US,USA,Missouri,,1590762
Indianapolis,Indianapolis,39.7771,-86.1458,United States,US,USA,Indiana,admin,1550488
Columbus,Columbus,39.9859,-82.9852,United States,US,USA,Ohio,admin,1495146
Virginia Beach,Virginia Beach,36.7335,-76.0435,United States,US,USA,Virginia,,1487505
